A,B,C,D,R
310,378,866,0.2897653247384949,False
442,233,325,-0.9986280112074989,True
564,137,899,-0.9204396175879807,False
273,211,127,-0.8812060258283253,True
583,7,662,0.9902159962126371,False
642,527,269,-0.8980085023246196,True
124,853,839,-0.21701894718109085,False
443,758,158,0.5209497819873273,True
657,805,237,-0.9241328000731296,False
47,330,892,0.31154136351337786,True
17,74,222,0.09067162446430967,False
757,680,581,0.8591618148564959,True
825,613,481,0.9534344706181513,False
706,325,211,0.21511998808781552,True
697,686,465,0.40517198543356203,False
340,372,93,0.9155264408310896,True
581,128,289,-0.8355887771314077,False
553,453,272,0.3567418735583286,True
831,316,289,0.9993224157301724,False
453,432,881,0.706668095735878,True
577,39,398,0.7109135380122773,False
592,746,575,0.7089182557246514,True
731,521,518,-0.5443166386804261,False
36,245,336,-0.9824526126243325,True
139,155,239,-0.9991351502732795,False
380,580,619,-0.8228285949687089,True
95,720,830,-0.25981735621375585,False
189,229,341,-0.991249371052267,True
643,307,768,0.9897664858278147,False
76,388,874,0.9955869758598548,True
220,398,234,-0.10581987174621767,False
641,113,13,0.771752662020126,True
266,297,398,0.9416876258196776,False
389,686,760,0.914240483800529,True
14,841,784,-0.4428362974924434,False
347,737,514,0.8237326395341211,True
894,518,503,-0.5936397591772248,False
843,414,617,0.9106183671457304,True
819,604,622,0.884035126468919,False
216,598,232,-0.5698888748578939,True
664,155,840,-0.9991351502732795,False
257,130,893,0.5155013718214642,True
538,716,302,-0.18181613830901996,False
720,26,169,0.49688013784373675,True
1,751,122,-0.7725408701107974,False
468,873,482,-0.9836208667477725,True
340,98,106,-0.3794517647881545,False
544,888,61,-0.8864214472422384,True
229,200,613,-0.6536436208636119,False
171,554,53,-0.9964382658753349,True
276,57,165,0.4175945039583582,False
9,356,47,0.7425132717958018,True
533,763,544,-0.9013311423330393,False
579,726,16,0.927610070633246,True
795,848,269,-0.31338888231930906,False
673,440,159,0.5849171928917617,True
214,299,355,0.954390321576654,False
845,169,794,-0.23615532069689701,True
426,777,21,-0.9859273015453156,False
181,190,268,-0.6118578909427189,True
706,791,370,-0.9937304475253387,False
438,655,242,0.5086614643723737,True
54,296,37,0.934769976045349,False
777,310,409,-0.08308940281749641,True
809,125,672,-0.8011436155469337,False
871,663,426,0.6393321329197169,True
13,502,362,-0.8166453193414427,False
183,275,146,-0.7055403255703919,True
301,436,343,-0.7617554219195404,False
133,370,18,0.8987080958116269,True
691,261,283,0.4860908862879401,False
44,869,270,-0.9948795659558413,True
533,641,310,0.9680081178413225,False
227,555,813,-0.9945525882039892,True
387,345,599,0.8157251001253568,False
600,540,433,-0.9809362300664916,True
537,363,722,0.5596651057060105,False
541,677,868,0.8269319659624454,True
24,710,699,-0.06279172292408176,False
540,773,745,0.24543003248500284,True
646,768,838,-0.940069154930553,False
274,290,861,-0.46460217941375737,True
71,698,706,0.17624157161241205,False
700,717,200,0.9794998035755914,True
347,335,152,0.9143831482353193,False
55,91,437,0.9691091288804563,True
599,686,451,0.40517198543356203,False
410,394,2,0.9996615414087742,True
709,585,590,0.6475963386538759,False
654,759,603,0.5037749870595203,True
101,470,274,-0.9996930420352065,False
168,813,544,-0.5244225076230977,True
763,183,451,-0.8686094366471648,False
709,597,638,-0.5862082407117827,True
219,769,877,-0.9467003696715496,False
856,175,877,-0.35078322768961984,True
733,158,383,-0.9998305895825983,False
440,413,563,0.9187006653297247,True
372,691,587,0.3118760620257062,False
715,737,176,0.8237326395341211,True
290,91,261,-0.24663230996883403,False
436,199,483,-0.7435791389442745,True
678,789,728,-0.9974064764544136,False
843,811,48,-0.4899537798180512,True
551,739,445,-0.5994654261946543,False
602,405,895,0.9698898108450863,True
439,414,875,-0.4132483386740275,False
577,715,731,0.9867719642746133,True
845,106,724,-0.5220081751547073,False
807,31,862,0.5810351605373051,True
442,329,718,0.9562729636650278,False
431,28,631,0.5311861979208834,True
106,157,416,-0.9999987317275395,False
49,428,301,0.7609512213187744,True
573,216,526,-0.38239691771268025,False
68,86,220,0.9888897660047015,True
672,205,820,-0.5748239465332692,False
519,22,860,0.4259394650659996,True
185,12,880,0.9713379748520297,False
515,218,200,-0.9385508568851079,True
687,532,138,-0.34812878660567287,False
584,717,565,0.9794998035755914,True
436,105,575,-0.5048461045998575,False
1,390,409,0.998543345374605,True
701,565,818,0.2997453432770149,False
227,537,47,-0.9675182747245379,True
280,153,460,-0.9966731657160466,False
405,654,865,0.49134155107381444,True
310,210,172,-0.4902608213406995,False
419,497,462,-0.49272807601966023,True
651,327,327,0.9672039546973639,False
3,502,697,-0.5771398638092098,True
553,340,343,0.8693974903498253,False
708,173,438,-0.31305435910297025,True
223,270,131,0.6346928759426346,False
170,218,29,-0.9385508568851079,True
295,673,617,0.6265875942814481,False
133,698,722,0.9843469451548001,True
454,84,110,-0.10898675223987112,False
210,0,131,0.0,True
239,797,537,-0.9732000466788273,False
455,27,751,0.5141359916531132,True
165,175,267,-0.9364566872907963,False
364,353,785,0.7010113772355981,True
293,224,718,-0.23030294068205867,False
593,179,576,-0.4244979694835826,True
490,640,466,0.9728325656974354,False
848,874,178,-0.9798193934546138,True
880,265,619,0.5543743361791608,False
538,48,821,0.8191915683009983,True
603,673,426,0.6265875942814481,False
677,403,312,0.9788531709987474,True
152,136,890,-0.912438361391958,False
604,38,898,0.6889214451105513,True
102,262,840,0.5034706714021142,False
310,589,24,-0.7077940734059962,True
270,300,260,0.9601702866503661,False
350,766,78,0.37830383593583167,True
215,409,840,-0.3202736754213679,False
611,447,289,0.4660119154128712,True
611,311,67,0.9980044725200334,False
400,728,462,0.9119300681740611,True
824,750,873,-0.7596879128588212,False
449,84,517,0.994043202198076,True
648,396,672,-0.06597042046272987,False
154,898,871,-0.7767921625902832,True
556,580,388,0.5682896297679736,False
795,235,255,-0.9999232575641008,True
780,211,5,-0.47273241907430985,False
311,10,479,0.19866933079506122,True
151,830,415,-0.627828035246386,False
492,147,702,0.2002299847217705,True
97,843,185,-0.4066275393379876,False
49,432,20,0.706668095735878,True
