A,B,C,D,R
0,27,36,21,True
19,82,1,15,True
45,65,9,53,False
44,10,14,98,False
15,88,58,0,True
82,83,89,70,False
67,52,63,33,True
70,55,3,33,True
96,87,2,23,True
30,59,93,92,False
83,30,62,22,True
48,28,29,17,True
45,53,57,9,True
93,60,88,50,False
69,73,89,11,True
73,6,92,24,True
15,31,69,31,True
18,20,62,20,True
29,13,97,36,True
29,55,64,53,False
69,58,97,18,True
66,27,48,42,True
96,64,51,84,False
86,95,19,88,False
24,57,83,14,True
10,55,52,46,False
82,53,9,30,True
93,55,12,18,True
5,59,58,9,True
19,46,53,78,False
22,34,67,42,True
57,52,12,78,False
1,30,65,97,False
51,75,51,94,False
7,87,41,81,False
11,51,49,91,False
61,4,78,77,False
23,38,63,34,True
61,95,4,59,False
56,62,38,69,False
47,52,18,97,False
48,42,84,75,False
34,28,59,23,True
17,96,95,26,True
69,59,23,49,False
32,65,73,91,False
51,61,29,81,False
39,95,26,99,False
33,58,87,63,False
14,34,6,25,True
20,30,41,91,False
50,77,10,94,False
68,98,31,93,False
69,37,73,71,False
5,10,21,19,True
28,60,92,22,True
13,13,51,36,True
31,61,35,97,False
54,29,26,37,True
89,38,30,99,False
24,83,9,63,False
14,21,96,33,True
71,17,42,79,False
26,82,20,36,True
98,44,99,8,True
38,83,44,45,False
29,41,48,41,True
4,40,43,8,True
98,20,31,3,True
51,92,0,27,True
6,19,55,51,False
90,21,75,44,False
44,56,0,74,False
95,83,77,8,True
66,2,37,63,False
54,16,42,67,False
13,76,34,14,True
85,17,35,31,True
48,22,71,4,True
83,39,16,81,False
66,66,39,45,False
75,59,88,75,False
58,0,94,28,True
90,56,15,99,False
89,57,85,38,True
84,76,48,72,False
88,38,58,77,False
0,73,15,77,False
81,15,37,91,False
56,16,57,25,True
0,65,27,25,True
29,91,25,96,False
77,93,84,69,False
25,6,69,65,False
75,30,6,67,False
77,41,37,9,True
54,86,32,39,True
7,78,90,91,False
85,47,8,2,True
71,64,74,94,False
7,12,75,17,True
40,50,43,13,True
58,62,32,34,True
12,83,88,92,False
61,9,51,33,True
36,63,16,61,False
46,57,30,43,False
35,98,15,53,False
69,61,12,99,False
57,2,56,74,False
21,69,48,24,True
93,85,90,46,False
96,92,64,46,False
89,11,30,24,True
86,41,82,86,False
20,79,95,81,False
77,37,4,67,False
93,59,91,29,True
54,17,66,32,True
88,63,44,70,False
90,79,53,66,False
47,54,96,95,False
77,27,70,29,True
12,48,91,67,False
49,64,35,75,False
46,90,44,27,True
31,94,25,84,False
89,95,60,42,True
49,45,37,94,False
73,51,54,36,True
66,59,14,77,False
52,86,15,6,True
38,24,60,10,True
21,67,38,53,False
45,92,23,60,False
38,57,26,0,True
76,91,64,77,False
9,16,30,44,False
20,1,35,22,True
1,29,88,67,False
49,81,19,88,False
43,88,88,29,True
47,30,29,73,False
14,43,97,40,True
45,88,59,23,True
76,29,31,59,False
98,98,28,57,False
41,40,63,0,True
51,38,97,33,True
15,65,87,76,False
19,92,84,79,False
29,5,96,74,False
66,37,36,69,False
35,94,33,83,False
32,49,31,78,False
87,49,24,74,False
15,97,40,46,False
37,58,61,12,True
21,73,61,67,False
90,55,55,8,True
52,31,86,94,False
53,81,61,14,True
39,78,81,48,False
11,43,26,53,False
55,53,3,23,True
59,20,63,89,False
28,5,92,63,False
4,11,5,1,True
27,43,72,66,False
55,6,78,77,False
94,31,74,39,True
62,50,19,65,False
32,44,11,46,False
9,85,2,74,False
33,54,82,73,False
80,19,13,94,False
48,86,62,97,False
2,91,8,46,False
93,35,12,26,True
89,26,64,32,True
30,67,10,26,True
36,16,53,42,True
37,71,91,20,True
82,12,86,53,False
38,84,26,63,False
29,81,84,94,False
80,13,7,62,False
81,76,89,3,True
84,12,51,63,False
7,22,52,79,False
42,79,33,33,True
30,85,29,49,False
96,11,23,94,False
53,18,40,62,False
45,20,71,63,False
89,94,40,13,True
76,45,16,7,True
93,55,93,57,False
66,49,65,30,True
71,86,22,87,False
45,28,95,63,False
99,43,9,85,False
33,47,86,18,True
63,29,8,70,False
38,71,51,79,False
12,20,96,45,False
28,39,73,62,False
96,16,90,39,True
62,86,61,62,False
0,7,23,52,False
69,76,48,7,True
17,62,67,54,False
28,89,60,35,True
53,71,10,70,False
84,25,34,19,True
10,67,28,47,False
68,51,13,70,False
81,50,90,62,False
3,25,32,53,False
51,40,56,54,False
12,64,90,62,False
72,35,71,94,False
18,32,42,62,False
48,79,14,61,False
9,18,65,37,True
22,69,63,55,False
69,93,90,26,True
27,69,74,40,True
84,43,45,44,False
82,20,19,97,False
66,82,28,62,False
51,89,85,26,True
27,74,69,25,True
31,34,63,60,False
20,11,17,84,False
71,91,95,55,False
16,58,80,1,True
24,76,21,87,False
34,94,32,38,True
84,35,89,9,True
83,12,69,30,True
44,64,34,65,False
15,94,18,86,False
33,36,38,27,True
59,96,36,0,True
33,42,5,91,False
78,55,65,22,True
93,85,8,83,False
47,12,73,30,True
63,92,89,78,False
16,72,56,29,True
44,63,6,84,False
54,10,0,62,False
13,81,51,31,True
70,80,91,4,True
51,27,37,48,False
57,49,48,54,False
82,55,88,84,False
85,28,24,67,False
59,44,12,77,False
10,34,11,64,False
69,90,92,84,False
78,16,59,85,False
39,68,15,98,False
98,10,16,21,True
28,68,4,36,True
15,52,95,47,False
31,7,19,24,True
91,96,3,41,True
43,23,31,97,False
52,58,50,18,True
57,32,18,5,True
38,49,58,44,False
1,8,67,67,False
2,92,32,12,True
48,51,82,35,True
84,22,18,55,False
