#(d > 64 and ((b > d or d == b) or (c < b or d != 7)))
A,B,C,D,R
3,46,62,21,False
50,1,95,1,False
76,10,59,68,True
80,96,49,64,False
18,87,76,57,False
97,84,18,84,True
27,67,64,96,True
39,66,58,17,False
14,77,21,55,False
77,3,75,70,True
47,32,14,26,False
10,88,14,71,True
49,53,36,87,True
31,80,76,29,False
44,35,0,37,False
22,65,57,67,True
82,80,66,42,False
70,48,87,5,False
81,17,82,57,False
28,18,83,99,True
31,23,43,20,False
51,60,68,58,False
81,71,52,93,True
76,85,78,61,False
63,99,33,90,True
89,14,67,87,True
87,35,73,39,False
32,93,38,61,False
92,73,87,59,False
15,98,56,52,False
58,43,92,67,True
7,72,34,58,False
33,22,82,53,False
1,4,33,0,False
21,14,77,76,True
83,27,90,9,False
96,43,71,72,True
20,14,91,94,True
14,28,18,98,True
80,63,16,66,True
63,84,98,30,False
98,25,24,74,True
58,19,68,39,False
99,28,46,62,False
50,15,28,15,False
74,54,10,26,False
40,99,49,24,False
42,11,49,41,False
30,86,16,27,False
23,16,84,28,False
15,85,49,96,True
43,93,98,86,True
69,15,50,98,True
93,55,67,66,True
78,0,0,46,False
17,13,74,63,False
35,79,48,58,False
46,44,57,93,True
60,73,85,83,True
13,89,7,88,True
65,94,20,67,True
60,34,65,16,False
93,44,95,57,False
86,87,68,26,False
0,82,36,51,False
81,26,23,22,False
49,36,71,83,True
2,0,21,49,False
51,67,94,5,False
15,95,18,73,True
97,12,73,1,False
49,59,11,62,False
48,69,93,59,False
79,42,23,11,False
61,68,88,89,True
92,78,2,71,True
83,40,11,67,True
55,15,99,99,True
37,8,44,33,False
32,78,33,20,False
86,96,62,25,False
66,80,32,90,True
21,69,98,75,True
82,50,71,98,True
32,3,46,74,True
28,26,84,96,True
16,71,47,61,False
83,29,53,34,False
51,66,34,94,True
73,96,80,31,False
48,44,43,40,False
25,99,9,51,False
28,70,9,53,False
98,21,59,36,False
96,34,23,33,False
15,82,19,27,False
72,49,86,97,True
73,31,65,53,False
79,11,35,0,False
99,98,22,63,False
64,22,29,71,True
29,21,81,58,False
64,42,4,90,True
76,52,82,77,True
44,67,19,39,False
38,62,84,12,False
94,71,33,23,False
93,99,70,44,False
95,11,4,58,False
73,84,61,70,True
96,94,79,66,True
13,83,60,10,False
65,39,85,56,False
38,78,7,61,False
56,21,12,58,False
87,34,84,63,False
99,15,74,30,False
15,61,78,76,True
89,49,66,34,False
90,83,52,73,True
75,50,54,24,False
52,35,28,20,False
22,72,44,4,False
31,56,7,98,True
89,39,50,97,True
10,30,40,16,False
11,12,42,12,False
78,78,47,92,True
30,46,49,26,False
77,91,75,57,False
15,19,74,80,True
47,83,86,29,False
41,80,50,89,True
96,49,85,72,True
77,21,64,60,False
34,78,8,30,False
16,33,56,74,True
47,77,64,60,False
13,72,58,71,True
65,23,78,2,False
90,58,61,23,False
51,56,7,75,True
54,72,11,92,True
86,39,44,71,True
61,79,0,96,True
12,66,74,99,True
47,76,57,11,False
62,56,30,20,False
6,65,54,85,True
55,64,79,30,False
52,32,40,98,True
27,81,14,67,True
99,61,54,46,False
72,75,30,5,False
76,12,65,54,False
87,87,2,87,True
53,74,56,2,False
14,57,39,47,False
24,7,99,8,False
40,15,40,19,False
43,2,28,97,True
19,66,94,72,True
79,45,81,52,False
53,47,2,20,False
0,10,64,7,False
50,54,29,53,False
58,30,64,74,True
27,15,68,45,False
19,86,7,45,False
27,75,95,33,False
19,73,28,13,False
54,21,9,44,False
80,26,13,90,True
53,50,91,80,True
1,25,79,23,False
81,41,63,80,True
81,15,57,69,True
56,27,26,96,True
25,14,42,34,False
44,6,41,9,False
65,61,20,12,False
92,19,56,34,False
84,68,26,53,False
55,0,33,53,False
34,44,40,65,True
79,5,48,74,True
29,53,59,7,False
37,45,45,25,False
86,64,45,79,True
36,77,39,81,True
57,25,5,43,False
89,0,72,97,True
40,90,69,29,False
76,83,42,30,False
48,71,10,42,False
2,61,34,17,False
87,3,9,85,True
1,54,3,36,False
52,63,42,9,False
86,29,13,1,False
26,71,36,36,False
2,69,55,95,True
0,28,31,53,False
77,5,9,69,True
22,20,51,15,False
87,62,61,91,True
8,9,5,89,True
88,59,27,58,False
59,94,21,28,False
74,36,99,44,False
55,23,89,50,False
5,67,61,14,False
97,94,4,72,True
51,11,1,75,True
98,20,21,36,False
34,66,97,82,True
2,74,11,40,False
77,24,33,34,False
47,19,11,72,True
19,9,78,15,False
28,49,12,79,True
0,32,58,7,False
42,0,10,27,False
6,66,2,7,False
93,97,64,35,False
85,10,36,35,False
99,26,34,9,False
54,46,69,69,True
52,59,77,45,False
26,63,1,83,True
91,67,66,37,False
91,13,10,50,False
94,48,15,17,False
85,39,34,5,False
82,9,31,8,False
3,35,27,48,False
67,42,20,90,True
57,18,88,31,False
13,73,55,18,False
70,60,26,50,False
67,94,39,83,True
9,75,4,12,False
99,75,38,9,False
41,87,7,29,False
58,70,36,96,True
65,59,56,55,False
70,89,87,29,False
2,62,54,9,False
42,82,9,74,True
51,7,85,58,False
11,81,82,61,False
73,36,26,33,False
33,74,44,19,False
89,34,18,19,False
3,1,46,95,True
89,55,94,4,False
93,38,69,6,False
8,3,54,23,False
50,56,2,39,False
82,15,51,76,True
70,15,54,38,False
49,6,28,76,True
45,6,35,74,True
91,72,72,71,True
39,94,22,29,False
44,80,3,92,True
27,33,22,73,True
38,65,36,17,False
65,48,74,91,True
86,2,40,36,False
80,39,0,1,False
87,40,47,9,False
86,59,88,92,True
21,55,67,57,False
30,44,24,65,True
84,58,96,50,False
86,21,77,78,True
41,31,22,62,False
84,83,8,39,False
79,82,37,92,True
14,23,27,96,True
41,13,52,60,False
47,70,23,34,False
19,36,15,18,False
31,45,97,57,False
98,81,81,97,True
46,58,6,25,False
78,14,33,6,False
86,67,36,3,False
56,71,99,84,True
26,96,91,89,True
3,44,54,52,False
87,50,94,3,False
81,51,13,32,False
18,39,81,44,False
25,8,39,93,True
3,99,39,51,False
76,74,24,35,False
